actor_phrase,director_phrase,production_phrase,writer_phrase
hiv aids,blade runner,filmfare awards,san francisco
greenwich village,lincoln center,star wars,robin hood
mildred pierce,roman polanski,national geographic,jane austen
helen mirren,sin city,kansas city,akira kurosawa
nancy carell,frost nixon,marvel comics,mystic river
brad pitt,françois truffaut,steve jobs,vanity fair
reservoir dogs,gary cooper,utv motion pictures,san diego
ella enchanted,lethal weapon,george lucas,sidney lumet
melrose place,orson welles,spider man,javed akhtar
beau bridges,denzel washington,texas chainsaw,lethal weapon
patch adams,ice age,mexico city,rolling stone
amitabh bachchan,tim robbins,focus features,joe biden
mona lisa,brokeback mountain,tristar pictures,wes anderson
northern ireland,jackie chan,golden lion,larry gelbart
reese witherspoon,studio ghibli,robert zemeckis,joan rivers
maggie gyllenhaal,gregory peck,toy story,donald trump
ray donovan,barton fink,oliver stone,monty python
eugene o'neill,nicole kidman,tony awards,las vegas
monsters unleashed,peter sellers,primetime emmy awards,martin scorsese
harvey dent,captain america,national lottery,francis ford coppola
premium rush,star wars,grammy awards,paper towns
marilyn monroe,mystic river,village roadshow,françois truffaut
louis c.k,francis ford coppola,dick tracy,johnny depp
gene hackman,robin hood,south korea,edgar allan poe
cousin vinny,jack nicholson,nightmare alley,danny glover
nicolas cage,mad max,dc universe,dc comics
café society,michael clayton,dustin hoffman,clint eastwood
crimson peak,ice cube,tony award,bram stoker's dracula
criminal minds,quentin tarantino,adam mckay,north carolina
stay hungry,mike nichols,wim wenders,veronica roth
mark wahlberg,sergio leone,black swan,anglo saxon
nightmare alley,akira kurosawa,lady bird,walt disney
meryl streep,magnum force,spike lee,matthew broderick
singham returns,laura linney,jason blum,carl reiner
chennai express,kirk douglas,rain man,beverly hills cop
jimmy hoffa,united artists,kung fu panda,rotten tomatoes
east coast,free willy,lone star,mel brooks
ellen burstyn,sunset boulevard,night shyamalan,jack reacher
resident evil,pauline kael,screen gems,kenyon college
jodie foster,west end,seth rogen,chevy chase
collateral damage,arrested development,james bond,wall street
fred claus,forrest gump,pitch perfect,ed wood
soviet union,golden lion,tom hanks,roger ebert
fatal attraction,schindler's list,ben affleck,swimming pool
louis dreyfus,san francisco,dollars trilogy,pga tour
vince vaughn,boardwalk empire,samuel goldwyn,booker prize
austin powers,ingmar bergman,venice film festival,jean luc godard
lloyd bridges,columbia pictures,jonathan demme,miles teller
stanley caine,laurence olivier,pierce brosnan,tom cruise
barbra streisand,slumdog millionaire,jason sudeikis,roger murtaugh
matt damon,monty python,leigh whannell,terry gilliam
extremely wicked,steven soderbergh,michael bay,premium rush
sharon tate,justice league,anchor bay,brad pitt
olivier assayas,harvard university,tf1 group,studio ghibli
sanjay dutt,charlton heston,colin farrell,ruby sparks
kelly's heroes,saturday night live,eddie constantine,winona ryder
ralph breaks,wall street,ol parker,antonio banderas
broken arrow,tom cruise,captain america,mike nichols
miller's crossing,howard hawks,jennifer aniston,ang lee
evening standard,toy story,united artists,adolf hitler
triple frontier,raging bull,michael myers,meryl streep
cary grant,die hard,shawn levy,disney channel
mahesh bhatt,jean claude van damme,casino royale,oscar isaac
ingrid bergman,beverly hills,peter segal,north korea
alec baldwin,sudden impact,happy madison,minority report
jennifer aniston,north america,angry inch,sherlock holmes
alpha dog,paranormal activity,dennis dugan,twin peaks
revolutionary road,civil war,hunger games,nicolas cage
prakash jha's,charlie's angels,james wan,kevin costner
teaching mrs,rear window,karate kid,marvel comics
body count,clint eastwood,united nations,metro goldwyn mayer
ajay devgn,saturn awards,academy award,golden lion
jon voight,inside llewyn davis,middle east,alfred hitchcock
doom patrol,meryl streep,damien chazelle,ridley scott
marvin's room,primary colors,bandai visual,christian bale
mike nichols's,barbra streisand,pretty woman,dario argento
beverly hills,jean luc godard,amblin entertainment,star wars
karate kid,double indemnity,emmy awards,legally blonde
aaron sorkin's,jurassic park,roger corman,hardy boys
steve carell,adam sandler,mike flanagan,federico fellini
pulitzer prize,amazon prime,dc comics,barton fink
marine corps,great britain,cross creek,hong kong
truman capote,heavenly creatures,beverly hills cop,nazi germany
christina ricci,marcia gay harden,daryl katz,bruce rauner
rabbit hole,ian freer,weinstein company,east jerusalem
sidney poitier,el mariachi,john travolta,joe pesci
kiefer sutherland,sitges film festival,woody allen,vicky cristina barcelona
salma hayek,hong kong,joe roth,mary poppins
veronica mars,pink panther,european broadcasting union,johns hopkins university
baron cohen,star trek,saturday night live,tom hanks
space cowboys,sony pictures,south korean,richard bachman
clerks ii,las vegas,invisible man,neil gaiman
danny devito,sean connery,die hard,moon knight
sally potter's,happy days,wonderful life,princeton university
audrey hepburn,walt disney animation studios,golden bear,south africa
executive decision,steven spielberg,george clooney,nobel prize
lenny bruce,cc oont,lone star funds,sweeney todd
clark gable,joan fontaine,brad pitt,tim burton
maureen o'hara,laurence fishburne,young guns,jump street
gregory peck,moscow international film festival,south park,anglo norman
walking tall,stranger things,cannon group,glengarry glen ross
julius caesar,tiger lily,columbia tristar,west bengal
hot shots,high plains drifter,katharine hepburn,vladimir putin
mad max,mani ratnam,north korea,hillary clinton
neighborhood playhouse,kevin bacon,robert rodriguez,amy ryan
roman polanski,roger ebert,stanley kubrick,warner bros
dragon ball,african american,alfonso cuarón,anne hathaway
gilmore girls,wolf creek,north america,tristar pictures
bloody mama,van sant's,beverly hills,blazing saddles
saint laurent,saving private ryan,morgan freeman,scottish gaelic
america's sweethearts,metro goldwyn mayer,alliance atlantis,damon lindelof
barbara stanwyck,united states,fred wolf,juan carlos
birthday honours,sean penn,joel silver,harry potter
leonardo dicaprio,sir ridley scott,steamboat willie,alex kurtzman
freaky friday,alfred hitchcock,wes craven,south korean
criminal intent,harry potter,gabriel byrne,marine corps
miss sloane,stanley kubrick,vietnam war,casino royale
stanley kubrick's,grand prix,trevor short,pat quinn
oliver stone's,fury road,black panther,simon pegg
missing link,toronto international film festival,blumhouse productions,billy wilder
humphrey bogart,sherlock holmes,mad max,south african
nip tuck,berlin international film festival,nova scotia,edgar award
salman khan,billy wilder,comedy central,james bond
designated survivor,independent spirit awards,hyde park,mel gibson
straw dogs,sundance film festival,american zoetrope,charles dickens
ugly betty,european film academy,dimension films,richard dawkins
colin farrell,silver lion,finding dory,quentin tarantino
santa barbara,true romance,summit entertainment,la dolce vita
suicide kings,muhammad ali's,stone age,bram stoker
raising arizona,woody allen,fox atomic,sin city
magnum force,golden bear,james cameron,supreme court
jungle cruise,student academy award,addams family,percy jackson
guy ritchie,stanley kubrick's,south africa,toy story
matthew mcconaughey,silver bear,twin peaks,south korea
jason statham,neil simon's,relativity media,joseph gordon levitt
javier bardem,andy griffith,grand prix,lauren myracle
spike lee's,natural born killers,fine line,steven spielberg's
katharine hepburn,stephen king,kennedy miller,fox news
adolf hitler,césar award,pet detective,steven spielberg
bette midler,framed roger rabbit,saving mr,ben hecht
marie antoinette,harry met sally,kolkata knight riders,sylvester stallone
hum tum,ben hur,las vegas,ashkenazi jewish
mel gibson,addams family,mark cuban,middle east
mike flaherty,warner bros,resident evil,sixth sense
harold pinter,walt disney productions,walden media,indiana jones
arizona dream,art thou,citizen kane,neil simon
weekend update,afi life achievement award,black messiah,silver bear
friendly persuasion,spider man,hbo max,columbia university
stanley kubrick,venice international film festival,eros international,uncle buck
ian charleson,steven spielberg's,runaway train,spider man
jamie foxx,american graffiti,golden globe,lisa marie
biloxi blues,kennedy center honor,tom brady,count dracula
orson welles,american horror story,kate winslet,labour party
herbert ross,european film awards,snow white,united kingdom
panic room,wet hot american summer,lakeshore records,young frankenstein
cactus flower,dirty harry,bruce willis,penélope cruz
kenneth lonergan's,south korean,river road,emmy awards
steve buscemi,george clooney,inside edge,william shakespeare
lauren bacall,paramount pictures,primetime emmy award,paramount pictures
uncle vanya,south african,andy warhol,hans christian andersen
raising helen,walt disney,gulshan kumar,jack ryan
steven soderbergh,saturn award,lemmy caution,michael keaton
charlize theron,cinderella man,bandai namco,justice league
ridley scott's prometheus,ingrid bergman,jordan peele,blue jasmine
multi facial,martin scorsese,american pie,dreamworks animation
double jeopardy,van sant,black phone,jack kirby
abraham lincoln,million dollar baby,knight riders,laurence olivier
abel ferrara,national film registry,robin hood,united states navy
minority report,golden globe,shutter island,beverly hills
soul surfer,fifty shades,screen actors guild award,epps jr
tim burton's,universal pictures,longest yard,jackie chan
batman forever,midnight express,regency enterprises,logan county
ashton kutcher,los angeles,marcus antonius,great train robbery
source code,robert redford,mel gibson,united artists
grand prix,venice film festival,southern wild,golden globes
total dhamaal,grand jury prize,tribeca film festival,universal pictures
sorority rising,cannes film festival,akira kurosawa,columbia pictures
random hearts,academy awards,rko pictures,saturn awards
ian mckellen,independent spirit award,wall street,saving private ryan
killer elite,gran torino,cloud atlas,maze runner
ricky gervais,thalberg memorial award,dark castle,huffington post
central park,jean pierre,strange wilderness,fipresci prize
darkest hour,golden globes,finding nemo,iron man
kingdom hearts,tim burton,bucky larson,bruce jay friedman
criminal justice,national film awards,donald duck,edmund fitzgerald
mel brooks,orion pictures,ace ventura,amazon prime
gus van,york university,lawrence gordon,filmfare awards
angelina jolie,american masters,hot chick,luc paul maurice besson
individual achievement,dc comics,em high,east asian
rob roy,van damme,charlie chaplin,harvard university
julie newmar,fellowship award,minnie mouse,robert altman
victor frankenstein,taxi driver,square enix,roger corman
laurence fishburne,ridley scott,di bonaventura,jurassic park
universal soldier,air force,daisy duck,woody allen
double impact,demille award,robert simonds,roman polanski
power rangers,grammy award,lifetime achievement,sundance film festival
downey sr,outstanding drama series,news corporation,blade runner
mulholland falls,filmfare awards,lego movie,annie fanny
ghost protocol,tony award,ted hope,cafe society
animal factory,jean luc,masaki kobayashi,sierra leone
